ID,Title,Difficulty,Leetcode Question Link,Topic Tags,Company Tags
202,Happy Number,Easy," https://leetcode.com/problems/happy-number","hash-table,math,two-pointers","netflix,ibm,adobe,amazon,microsoft,tesla,jp-morgan,apple,meta,google"
20,Valid Parentheses,Easy," https://leetcode.com/problems/valid-parentheses","string,stack","jp-morgan,tesla,meta,netflix,amazon,apple,google,adobe,ibm,microsoft"
322,Coin Change,Medium," https://leetcode.com/problems/coin-change","array,dynamic-programming,breadth-first-search","amazon,jp-morgan"
121,Best Time to Buy and Sell Stock,Easy," https://leetcode.com/problems/best-time-to-buy-and-sell-stock","array,dynamic-programming","apple,tesla"
1328,Break a Palindrome,Medium," https://leetcode.com/problems/break-a-palindrome","string,greedy",google
31,Next Permutation,Medium," https://leetcode.com/problems/next-permutation","array,two-pointers","amazon,tesla"
273,Integer to English Words,Hard," https://leetcode.com/problems/integer-to-english-words","math,string,recursion","meta,adobe,apple,amazon"
9,Palindrome Number,Easy," https://leetcode.com/problems/palindrome-number",math,"meta,google"
1,Two Sum,Easy," https://leetcode.com/problems/two-sum","array,hash-table","google,adobe,amazon,netflix,jp-morgan,meta,ibm,microsoft"
7,Reverse Integer,Easy," https://leetcode.com/problems/reverse-integer",math,apple
17,Letter Combinations of a Phone Number,Medium," https://leetcode.com/problems/letter-combinations-of-a-phone-number","hash-table,string,backtracking","microsoft,meta,tesla,jp-morgan,apple,ibm,netflix,amazon,google"
200,Number of Islands,Medium," https://leetcode.com/problems/number-of-islands","array,depth-first-search,breadth-first-search,union-find,matrix","tesla,google,ibm,amazon,adobe,microsoft,apple,jp-morgan,netflix,meta"
53,Maximum Subarray,Easy," https://leetcode.com/problems/maximum-subarray","array,divide-and-conquer,dynamic-programming","microsoft,tesla,apple,amazon,ibm"
5,Longest Palindromic Substring,Medium," https://leetcode.com/problems/longest-palindromic-substring","string,dynamic-programming",adobe
4,Median of Two Sorted Arrays,Hard," https://leetcode.com/problems/median-of-two-sorted-arrays","array,binary-search,divide-and-conquer","ibm,google,apple,microsoft,meta,adobe"
33,Search in Rotated Sorted Array,Medium," https://leetcode.com/problems/search-in-rotated-sorted-array","array,binary-search","microsoft,meta,amazon,tesla,google,netflix,apple"
146,LRU Cache,Medium," https://leetcode.com/problems/lru-cache","hash-table,linked-list,design,doubly-linked-list","adobe,tesla,microsoft,google"
349,Intersection of Two Arrays,Easy," https://leetcode.com/problems/intersection-of-two-arrays","array,hash-table,two-pointers,binary-search,sorting","apple,ibm,microsoft,netflix"
79,Word Search,Medium," https://leetcode.com/problems/word-search","array,backtracking,matrix","netflix,ibm,microsoft"
215,Kth Largest Element in an Array,Medium," https://leetcode.com/problems/kth-largest-element-in-an-array","array,divide-and-conquer,sorting,heap-priority-queue,quickselect","ibm,jp-morgan"
39,Combination Sum,Medium," https://leetcode.com/problems/combination-sum","array,backtracking","tesla,jp-morgan,meta,adobe,microsoft,netflix,ibm,apple,google,amazon"
387,First Unique Character in a String,Easy," https://leetcode.com/problems/first-unique-character-in-a-string","hash-table,string,queue,counting",google
